id,title
5730,八仙事件家屬提國賠每名罹難者萬
5732,八仙塵爆家屬要求國賠萬段宜康籲賴清德展現擔當
5733,賴揆盼朝野共拚經濟籲勞資勿對立
5734,一例一休修法賴清德總統充分支持
5735,一例一休修法讓勞動條件退步學者沒一個國家這樣
5737,賴清德探視原住民後原民會主委仍說土地劃設政策不變
5738,一例一休修法侯漢廷堂堂執政黨把承諾當放屁
5741,一例一休修法賴清德總統充分支持
5742,校園安全亮紅燈江啟臣籲中市發放防身警報器
5744,一例一休修法賴揆已向蔡總統報告獲充分支持
5745,賴清德關心原民抗議原民會繼續溝通不改既定政策
5746,行政院長賴清德今日拍板勞基法修法草案如有條件鬆綁七休一等也提出個不變及個彈性措施呼籲勞資雙方不要發生衝突
5749,為什麼任內豪宅農舍要加稅林聰賢亂世要用重典
5750,為什麼任內豪宅農舍要加稅林聰賢亂世要用重典
5751,向違規農舍課稅林聰賢不是處罰標準
5752,影無視勞團抗議勞基法修法四不變四彈性
5754,柯文哲支持可徹底執行的勞基法
5756,獵雷艦慶富案國民黨調查應不分藍綠
5757,向違規農舍課稅林聰賢不是處罰標準
5758,賴清德宣示查慶富案無上限藍委籲別只查馬英九
5761,柯文哲支持可徹底執行的勞基法
5764,四彈性恐被濫用徐國勇相信台灣好老闆佔多數
5766,落實週休二日原則賴揆拍板勞基法修法
5767,落實週休二日原則賴揆拍板勞基法修法
5768,休鬆綁給不給過賴揆要求合理應給彈性
5769,勞權倒退年行政院修法反迎頭趕上世界潮流
5770,獵雷艦慶富案國民黨不滿綠牽拖馬英九
5771,一例一將再度修法引發爭議社會民主黨召集人范雲今日指出修改勞基法的方向嚴重侵害勞工權益因此邀請行政院長賴清德與其進行辯論
5772,賴揆鬆綁七休一勞團場外抗議
5773,行政院修勞基法提出四不變四彈性
5775,政院通過勞基法修正草案賴揆四不變四彈性
5776,一例一休修法勞團降低加班費增加工時
5777,賴清德全力推動學校午餐採用在地食材
5778,政院通過一例一休修法勞團場外抗議
5779,南部人喜歡加班高雄產總嗆才不想過勞
5780,蘋果政院通過勞基法修法賴清德親上火線說明
5784,勞基法再修法社民黨邀賴清德出來辯
5787,柯市府女人開戰蔡璧如槓上簡余晏
5789,挺一例一休柯文哲稱可連上個月慘遭砲轟
5790,又見髮夾彎賴揆核電是最後手段
5791,核能流言終結者黃士修為了非核家園每戶家庭要多付百萬元
5800,吳敦義怨賴揆沒聽意見宣布不見蔡英文
5803,中油觀塘接收站拚如期完工
5804,斥資億元解決缺電賴揆核能是最後手段
5806,宜蘭農地違規陳金德成立專案小組檢討
5811,宜蘭社會正義政策反覆李明賢批民進黨為執政亂搞
5813,蔡吳會破局府對話誠意不變
5814,護藻礁環團請賴揆做功課
5815,賴揆未來年電價跟過去年差不多
5816,中油觀塘案不過賴揆北部供電恐出問題
5818,影民進黨兩個太陽蔡英文賴清德矛盾與日俱增
5821,一例一休修法縣市有意見
5825,賴揆明說明例休修法民進黨團政院版是最高共識
5826,綠能屋頂結合智慧電表經部下週研議辦法
5827,宜蘭違規農舍退房屋稅各方見解不同
5828,一例一休修法縣市有意見
5831,吳敦義不見蔡總統府朝野對話誠意不變
5832,承擔一例一休修法賴揆日親上火線說明
5833,違規農舍退房屋稅各方見解不同
5834,綠能屋頂結合智慧電表經部下週研議辦法
5837,吳敦義不見蔡總統府朝野對話誠意不變
5840,億解決缺電王鴻薇批賴清德比蔡英文還會搶錢
5841,億解決缺電王鴻薇批賴清德比蔡英文還會搶錢
5845,承擔一例一休修法賴揆日親上火線說明
5847,賴清德探訪原民團體好的開始
5853,前瞻拋億缺電砸億王鴻薇要剝幾層皮
5854,國民黨主席吳敦義上週與行政院長賴清德會面肯定賴揆在一例一休上的用心不過吳敦義日下午在國民黨中常會上表示
5858,一例一休鬥嘴時代力量批靠攏資方
5859,賴清德探訪原民團體好的開始
5861,辯論開羅宣言真偽綠議員向王家貞下戰帖
5862,賴清德低調探視原民建議傳統領域公私土地區分管理強度
5863,吳敦義怨賴揆未聽一例一休修法意見宣示不見蔡英文
5864,吳敦義蔡英文鬥爭手法未改前兩人不會見面
5865,賴清德現身凱道與原民討論傳統領域劃設議
5870,行政院拍板一例一休再修法方向引發外界抨擊被問到是否支持行政院長賴清德調整一例一休台中市長林佳龍今日對此表示
5871,不容羞辱國民黨國父南市議員杯葛文化局預算
5876,活動安排不當簡余晏槓蔡壁如柯我最討厭問題放心裡
5877,退違規農舍課稅陳金德堅持農地農用
5879,不同調勞動局反鬆綁一例一休柯卻說我支持
5881,退違規農舍課稅陳金德堅持農地農用
5882,鬆綁七休一積假遊歐網酸內閣不知民間疾苦
5884,蘋果空污壟罩連任路林佳龍上火線
5886,消防捕蜂捉蛇葉俊榮盼年內回歸農政
5888,五缺缺電政府投億策略達非核家園
5892,政治考量退稅宜縣府農地農用立場不變
5893,拚燃氣發電台電將自建座天然氣接收站
5894,面對棄守農地質疑陳金德堅持農地農用
5895,賴清德策略解決缺電綠肯定藍批三輸
5896,第三天然氣接收站賴清德經部應主責
5897,解決缺電投億賴揆核電放最後
5898,第三天然氣接收站賴清德經部應主責
5902,政院保證未來十年電價不會漲超過元
5903,賴清德策略解決缺電學者看好供電無虞
5904,幻象機失聯成大老師何子雨內歛不外放
5905,反對全面放寬七休一藍營預計周五提版本
5906,賴清德再轉核能電廠是最後手段
5907,賴清德策略解決缺電學者看好供電無虞
